jugador,elo_actual_total,elo_maximo_total,elo_actual_tierra,elo_actual_hierba,elo_actual_dura,elo_maximo_tierra,elo_maximo_hierba,elo_maximo_dura,activo,elo
waldemar timm,1463.71,1500.0,1452.07,1500.0,1500.0,1500.0,1500.0,1500.0,0,1463.71
santiago mora,1475.69,1500.0,1476.19,1500.0,1500.0,1500.0,1500.0,1500.0,0,1475.69
chris garner,1498.98,1576.32,1471.93,1471.75,1504.58,1519.19,1500.0,1539.54,0,1498.98
adrian ungur,1467.0,1572.56,1431.56,1445.47,1488.59,1560.79,1500.0,1507.3,0,1467.0
harald neuner,1484.99,1500.0,1484.45,1500.0,1500.0,1500.0,1500.0,1500.0,0,1484.99
jonas bjorkman,1606.48,1976.7,1491.61,1668.93,1526.81,1640.25,1735.06,1945.79,0,1606.48
frank schwanner,1486.16,1500.0,1500.0,1486.16,1500.0,1500.0,1500.0,1500.0,0,1486.16
stanislav birner,1485.3,1709.09,1492.8,1475.07,1480.88,1623.3,1522.78,1555.69,0,1485.3
peter wessels,1625.99,1728.99,1468.49,1594.13,1516.02,1500.0,1629.48,1591.49,0,1625.99
bastian knittel,1495.67,1504.99,1493.29,1482.48,1500.0,1500.0,1500.0,1500.0,0,1495.67
emad abou hamdeh,1389.84,1500.0,1500.0,1500.0,1390.17,1500.0,1500.0,1500.0,0,1389.84
pat serret,1490.65,1509.88,1500.0,1488.16,1499.88,1500.0,1500.0,1516.7,0,1490.65
ramon delgado,1643.13,1731.27,1674.61,1431.87,1568.63,1732.14,1500.0,1649.51,0,1643.13
chase buchanan,1487.49,1500.0,1500.0,1500.0,1487.07,1500.0,1500.0,1500.0,0,1487.49
chris bovett,1449.89,1500.0,1423.96,1490.26,1500.0,1500.0,1502.48,1500.0,0,1449.89
jose prats,1503.57,1516.0,1503.12,1500.0,1500.0,1516.0,1500.0,1500.0,0,1503.57
tyler chin,1481.52,1500.0,1500.0,1500.0,1482.81,1500.0,1500.0,1500.0,0,1481.52
matic kriznik,1515.27,1515.27,1515.27,1500.0,1500.0,1515.27,1500.0,1500.0,0,1515.27
john williams,1474.54,1500.81,1473.46,1493.98,1500.0,1500.0,1516.0,1500.0,0,1474.54
kristian tammivuori,1484.0,1500.0,1500.0,1500.0,1484.0,1500.0,1500.0,1500.0,0,1484.0
young min kwon,1461.36,1500.0,1500.0,1500.0,1458.53,1500.0,1500.0,1500.0,0,1461.36
pavel baranov,1440.21,1500.0,1500.0,1500.0,1439.06,1500.0,1500.0,1500.0,0,1440.21
manjule weerakoon,1467.42,1500.0,1500.0,1500.0,1467.91,1500.0,1500.0,1500.0,0,1467.42
luke jensen,1441.55,1515.7,1438.64,1482.92,1404.73,1500.0,1500.0,1508.08,0,1441.55
phillip harboe,1488.63,1500.0,1488.68,1500.0,1500.0,1500.0,1500.0,1500.0,0,1488.63
jeremy bond,1483.81,1500.0,1500.0,1484.34,1500.0,1500.0,1500.0,1500.0,0,1483.81
jorg muller,1503.05,1517.03,1500.0,1500.0,1492.36,1500.0,1500.0,1512.53,0,1503.05
f. strizik,1482.51,1500.0,1482.5,1500.0,1500.0,1500.0,1500.0,1500.0,0,1482.51
yanaki milev,1492.57,1500.0,1482.85,1500.0,1500.0,1500.0,1500.0,1500.0,0,1492.57
amine ahouda,1483.34,1523.9,1491.07,1500.0,1489.2,1515.25,1500.0,1500.0,0,1483.34
michael hickey,1403.61,1538.43,1428.07,1499.34,1424.63,1533.49,1505.81,1500.0,0,1403.61
seung bok baek,1468.9,1500.0,1500.0,1500.0,1467.76,1500.0,1500.0,1500.0,0,1468.9
peter mcgrath,1496.84,1500.0,1500.0,1495.6,1500.0,1500.0,1500.0,1500.0,0,1496.84
jason kubler,1568.17,1673.68,1538.07,1530.38,1530.81,1549.26,1576.64,1594.15,1,1568.17
clement chidekh,1473.81,1500.0,1500.0,1500.0,1470.69,1500.0,1500.0,1500.0,1,1473.81
jesus hernandez,1482.48,1500.0,1500.0,1500.0,1482.38,1500.0,1500.0,1500.0,0,1482.48
robert puddicombe,1475.19,1546.79,1519.17,1453.14,1500.0,1546.76,1500.0,1500.0,0,1475.19
tommi lenho,1529.43,1529.43,1529.22,1500.0,1500.0,1529.22,1500.0,1500.0,0,1529.43
toufiq zhalan,1500.37,1516.0,1500.0,1500.0,1499.9,1500.0,1500.0,1516.0,0,1500.37
jan willem frederikse,1487.77,1500.0,1485.81,1500.0,1500.0,1500.0,1500.0,1500.0,0,1487.77
omar urbinati,1483.82,1500.0,1475.65,1500.0,1500.0,1500.0,1500.0,1500.0,0,1483.82
jesse huta galung,1437.17,1508.47,1458.79,1465.83,1433.42,1512.46,1500.0,1516.28,0,1437.17
peter thrupp,1487.19,1500.0,1500.0,1483.81,1500.0,1500.0,1500.0,1500.0,0,1487.19
ivor warwick,1500.11,1516.12,1500.0,1500.0,1500.0,1500.0,1516.0,1500.0,0,1500.11
ben ellwood,1442.7,1500.0,1500.0,1469.44,1444.52,1500.0,1500.09,1500.0,0,1442.7
klaus klein,1470.42,1500.0,1470.88,1500.0,1500.0,1500.0,1500.0,1500.0,0,1470.42
ruan roelofse,1457.42,1503.9,1487.28,1500.0,1463.03,1500.0,1500.0,1502.78,0,1457.42
paul dogherty,1485.13,1500.0,1500.0,1500.0,1481.2,1500.0,1500.0,1500.0,0,1485.13
paul bailey,1515.27,1515.27,1515.26,1500.0,1500.0,1515.26,1500.0,1500.0,0,1515.27
xavier daufresne,1499.31,1620.77,1459.58,1500.0,1537.11,1540.03,1500.0,1599.31,0,1499.31
felix mantilla,1628.55,1980.95,1658.28,1435.26,1585.66,1976.42,1508.87,1738.87,0,1628.55
victor palman,1474.5,1500.0,1495.59,1472.76,1500.0,1500.0,1500.0,1500.0,0,1474.5
k. franzi,1491.09,1500.0,1500.0,1484.42,1500.0,1500.0,1500.0,1500.0,0,1491.09
zan guerry,1535.85,1605.29,1530.28,1447.6,1404.28,1605.35,1500.01,1500.0,0,1535.85
beejong sisson,1444.6,1500.0,1471.29,1501.03,1454.17,1500.0,1514.57,1500.0,0,1444.6
